Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
curb_concrete,mature,yes,800.000000,1223.392944,2992.000000
curb_concrete,mature,yes,800.000000,1223.067993,3035.000000
curb_concrete,mature,yes,800.000000,1222.743042,3070.000000
curb_concrete,mature,yes,800.000000,1222.417969,3082.000000
curb_concrete,mature,yes,800.000000,1222.093018,3012.000000
curb_concrete,mature,yes,800.000000,1221.767944,3043.000000
curb_concrete,mature,yes,800.000000,1221.442993,3032.000000
curb_concrete,mature,yes,800.000000,1221.118042,3017.000000
curb_concrete,mature,yes,800.000000,1220.793945,3001.000000
curb_concrete,mature,yes,800.000000,1220.468994,3054.000000
curb_concrete,mature,yes,800.000000,1220.144043,3028.000000
curb_concrete,mature,yes,800.000000,1219.818970,3070.000000
curb_concrete,mature,yes,800.000000,1219.494019,3002.000000
curb_concrete,mature,yes,800.000000,1219.168945,3061.000000
curb_concrete,mature,yes,800.000000,1218.843994,3003.000000
curb_concrete,mature,yes,800.000000,1218.519043,2994.000000
curb_concrete,mature,yes,800.000000,1218.193970,3033.000000
curb_concrete,mature,yes,800.000000,1217.869995,3038.000000
curb_concrete,mature,yes,800.000000,1217.545044,3054.000000
curb_concrete,mature,yes,800.000000,1217.219971,3035.000000
curb_concrete,mature,yes,800.000000,1216.895020,2997.000000
curb_concrete,mature,yes,800.000000,1216.569946,3047.000000
curb_concrete,mature,yes,800.000000,1216.244995,3030.000000
curb_concrete,mature,yes,800.000000,1215.920044,3080.000000
curb_concrete,mature,yes,800.000000,1215.594971,3007.000000
curb_concrete,mature,yes,800.000000,1215.270996,3063.000000
curb_concrete,mature,yes,800.000000,1214.946045,3035.000000
curb_concrete,mature,yes,800.000000,1214.620972,3048.000000
curb_concrete,mature,yes,800.000000,1214.296021,3060.000000
curb_concrete,mature,yes,800.000000,1213.970947,3070.000000
curb_concrete,mature,yes,800.000000,1213.645996,3062.000000
curb_concrete,mature,yes,800.000000,1213.321045,3024.000000
curb_concrete,mature,yes,800.000000,1212.995972,3022.000000
curb_concrete,mature,yes,800.000000,1212.671021,3052.000000
curb_concrete,mature,yes,800.000000,1212.347046,3060.000000
curb_concrete,mature,yes,800.000000,1212.021973,3036.000000
curb_concrete,mature,yes,800.000000,1211.697021,3005.000000
curb_concrete,mature,yes,800.000000,1211.371948,2981.000000
curb_concrete,mature,yes,800.000000,1211.046997,2979.000000
curb_concrete,mature,yes,800.000000,1210.722046,3041.000000
curb_concrete,mature,yes,800.000000,1210.396973,2995.000000
curb_concrete,mature,yes,800.000000,1210.072021,2998.000000
curb_concrete,mature,yes,800.000000,1209.746948,3043.000000
curb_concrete,mature,yes,800.000000,1209.422974,3028.000000
curb_concrete,mature,yes,800.000000,1209.098022,3016.000000
curb_concrete,mature,yes,800.000000,1208.772949,3020.000000
curb_concrete,mature,yes,800.000000,1208.447998,3014.000000
curb_concrete,mature,yes,800.000000,1208.123047,3042.000000
curb_concrete,mature,yes,800.000000,1207.797974,3062.000000
curb_concrete,mature,yes,800.000000,1207.473022,3067.000000
curb_concrete,mature,yes,800.000000,1207.147949,3021.000000
curb_concrete,mature,yes,800.000000,1206.823975,3045.000000
curb_concrete,mature,yes,800.000000,1206.499023,2998.000000
curb_concrete,mature,yes,800.000000,1206.173950,3036.000000
curb_concrete,mature,yes,800.000000,1205.848999,2976.000000
curb_concrete,mature,yes,800.000000,1205.524048,3003.000000
curb_concrete,mature,yes,800.000000,1205.198975,3049.000000
curb_concrete,mature,yes,800.000000,1204.874023,3024.000000
curb_concrete,mature,yes,800.000000,1204.548950,3050.000000
curb_concrete,mature,yes,800.000000,1204.223999,3032.000000
curb_concrete,mature,yes,800.000000,1203.900024,2982.000000
curb_concrete,mature,yes,800.000000,1203.574951,3021.000000
curb_concrete,mature,yes,800.000000,1203.250000,3044.000000
curb_concrete,mature,yes,800.000000,1202.925049,3059.000000
curb_concrete,mature,yes,800.000000,1202.599976,3073.000000
curb_concrete,mature,yes,800.000000,1202.275024,3014.000000
curb_concrete,mature,yes,800.000000,1201.949951,3013.000000
curb_concrete,mature,yes,800.000000,1201.625000,3019.000000
curb_concrete,mature,yes,800.000000,1201.301025,3079.000000
curb_concrete,mature,yes,800.000000,1200.975952,3020.000000
curb_concrete,mature,yes,800.000000,1200.651001,3007.000000
curb_concrete,mature,yes,800.000000,1200.326050,3028.000000
curb_concrete,mature,yes,800.000000,1200.000977,3016.000000
curb_concrete,mature,yes,800.000000,1199.676025,2998.000000
curb_concrete,mature,yes,800.000000,1199.350952,3021.000000
curb_concrete,mature,yes,800.000000,1199.026001,3028.000000
curb_concrete,mature,yes,800.000000,1198.701050,3032.000000
curb_concrete,mature,yes,800.000000,1198.376953,3058.000000
curb_concrete,mature,yes,800.000000,1198.052002,3030.000000
curb_concrete,mature,yes,800.000000,1197.727051,3017.000000
curb_concrete,mature,yes,800.000000,1197.401978,3020.000000
curb_concrete,mature,yes,800.000000,1197.077026,3020.000000
curb_concrete,mature,yes,800.000000,1196.751953,2997.000000
curb_concrete,mature,yes,800.000000,1196.427002,2982.000000
curb_concrete,mature,yes,800.000000,1196.102051,3043.000000
curb_concrete,mature,yes,800.000000,1195.777954,3039.000000
curb_concrete,mature,yes,800.000000,1195.453003,3012.000000
curb_concrete,mature,yes,800.000000,1195.128052,3075.000000
curb_concrete,mature,yes,800.000000,1194.802979,3015.000000
curb_concrete,mature,yes,800.000000,1194.478027,3034.000000
curb_concrete,mature,yes,800.000000,1194.152954,3030.000000
curb_concrete,mature,yes,800.000000,1193.828003,3013.000000
curb_concrete,mature,yes,800.000000,1193.503052,3054.000000
curb_concrete,mature,yes,800.000000,1193.177979,3027.000000
curb_concrete,mature,yes,800.000000,1192.854004,3051.000000
curb_concrete,mature,yes,800.000000,1192.529053,3057.000000
curb_concrete,mature,yes,800.000000,1192.203979,3041.000000
curb_concrete,mature,yes,800.000000,1191.879028,3067.000000
curb_concrete,mature,yes,800.000000,1191.553955,2979.000000
curb_concrete,mature,yes,800.000000,1191.229004,3028.000000
curb_concrete,mature,yes,800.000000,1190.904053,3072.000000
curb_concrete,mature,yes,800.000000,1190.578979,2999.000000
curb_concrete,mature,yes,800.000000,1190.255005,3022.000000
curb_concrete,mature,yes,800.000000,1189.930054,3030.000000
curb_concrete,mature,yes,800.000000,1189.604980,3049.000000
curb_concrete,mature,yes,800.000000,1189.280029,3047.000000
curb_concrete,mature,yes,800.000000,1188.954956,3066.000000
curb_concrete,mature,yes,800.000000,1188.630005,3062.000000
curb_concrete,mature,yes,800.000000,1188.305054,3060.000000
curb_concrete,mature,yes,800.000000,1187.979980,3006.000000
curb_concrete,mature,yes,800.000000,1187.655029,3106.000000
curb_concrete,mature,yes,800.000000,1187.331055,3053.000000
curb_concrete,mature,yes,800.000000,1187.005981,3051.000000
curb_concrete,mature,yes,800.000000,1186.681030,3035.000000
curb_concrete,mature,yes,800.000000,1186.355957,3044.000000
curb_concrete,mature,yes,800.000000,1186.031006,3041.000000
curb_concrete,mature,yes,800.000000,1185.706055,3034.000000
curb_concrete,mature,yes,800.000000,1185.380981,3046.000000
curb_concrete,mature,yes,800.000000,1185.056030,3032.000000
curb_concrete,mature,yes,800.000000,1184.732056,3066.000000
curb_concrete,mature,yes,800.000000,1184.406982,3032.000000
curb_concrete,mature,yes,800.000000,1184.082031,3023.000000
curb_concrete,mature,yes,800.000000,1183.756958,3027.000000
curb_concrete,mature,yes,800.000000,1183.432007,3007.000000
curb_concrete,mature,yes,800.000000,1183.107056,3046.000000
curb_concrete,mature,yes,800.000000,1182.781982,3044.000000
curb_concrete,mature,yes,800.000000,1182.457031,3034.000000
curb_concrete,mature,yes,800.000000,1182.131958,3024.000000
curb_concrete,mature,yes,800.000000,1181.807983,3045.000000
curb_concrete,mature,yes,800.000000,1181.483032,3062.000000
curb_concrete,mature,yes,800.000000,1181.157959,3047.000000
curb_concrete,mature,yes,800.000000,1180.833008,3040.000000
curb_concrete,mature,yes,800.000000,1180.508057,3026.000000
curb_concrete,mature,yes,800.000000,1180.182983,2986.000000
curb_concrete,mature,yes,800.000000,1179.858032,3029.000000
curb_concrete,mature,yes,800.000000,1179.532959,3001.000000
curb_concrete,mature,yes,800.000000,1179.208984,3065.000000
curb_concrete,mature,yes,800.000000,1178.884033,3003.000000
curb_concrete,mature,yes,800.000000,1178.558960,3010.000000
curb_concrete,mature,yes,800.000000,1178.234009,3026.000000
curb_concrete,mature,yes,800.000000,1177.909058,3022.000000
curb_concrete,mature,yes,800.000000,1177.583984,3006.000000
curb_concrete,mature,yes,800.000000,1177.259033,2996.000000
curb_concrete,mature,yes,800.000000,1176.933960,3017.000000
curb_concrete,mature,yes,800.000000,1176.609009,3027.000000
curb_concrete,mature,yes,800.000000,1176.285034,3049.000000
curb_concrete,mature,yes,800.000000,1175.959961,3009.000000
curb_concrete,mature,yes,800.000000,1175.635010,3042.000000
curb_concrete,mature,yes,800.000000,1175.310059,3047.000000
curb_concrete,mature,yes,800.000000,1174.984985,3006.000000
curb_concrete,mature,yes,800.000000,1174.660034,2997.000000
curb_concrete,mature,yes,800.000000,1174.334961,3056.000000
curb_concrete,mature,yes,800.000000,1174.010010,3041.000000
curb_concrete,mature,yes,800.000000,1173.686035,3014.000000
curb_concrete,mature,yes,800.000000,1173.360962,3037.000000
curb_concrete,mature,yes,800.000000,1173.036011,3064.000000
curb_concrete,mature,yes,800.000000,1172.711060,3043.000000
curb_concrete,mature,yes,800.000000,1172.385986,3025.000000
curb_concrete,mature,yes,800.000000,1172.061035,3039.000000
curb_concrete,mature,yes,800.000000,1171.735962,3036.000000
curb_concrete,mature,yes,800.000000,1171.411011,3010.000000
curb_concrete,mature,yes,800.000000,1171.086060,3028.000000
curb_concrete,mature,yes,800.000000,1170.761963,3027.000000
curb_concrete,mature,yes,800.000000,1170.437012,3025.000000
curb_concrete,mature,yes,800.000000,1170.112061,3059.000000
curb_concrete,mature,yes,800.000000,1169.786987,3040.000000
curb_concrete,mature,yes,800.000000,1169.462036,3032.000000
curb_concrete,mature,yes,800.000000,1169.136963,3069.000000
curb_concrete,mature,yes,800.000000,1168.812012,3083.000000
curb_concrete,mature,yes,800.000000,1168.487061,3036.000000
curb_concrete,mature,yes,800.000000,1168.162964,3021.000000
curb_concrete,mature,yes,800.000000,1167.838013,3020.000000
curb_concrete,mature,yes,800.000000,1167.512939,2993.000000
curb_concrete,mature,yes,800.000000,1167.187988,3064.000000
curb_concrete,mature,yes,800.000000,1166.863037,3033.000000
curb_concrete,mature,yes,800.000000,1166.537964,3051.000000
curb_concrete,mature,yes,800.000000,1166.213013,3088.000000
curb_concrete,mature,yes,800.000000,1165.887939,3057.000000
curb_concrete,mature,yes,800.000000,1165.562988,3072.000000
curb_concrete,mature,yes,800.000000,1165.239014,2995.000000
curb_concrete,mature,yes,800.000000,1164.913940,3018.000000
curb_concrete,mature,yes,800.000000,1164.588989,3012.000000
curb_concrete,mature,yes,800.000000,1164.264038,3041.000000
curb_concrete,mature,yes,800.000000,1163.938965,3012.000000
curb_concrete,mature,yes,800.000000,1163.614014,3016.000000
curb_concrete,mature,yes,800.000000,1163.288940,3082.000000
curb_concrete,mature,yes,800.000000,1162.963989,3020.000000
curb_concrete,mature,yes,800.000000,1162.640015,3032.000000
curb_concrete,mature,yes,800.000000,1162.314941,3033.000000
curb_concrete,mature,yes,800.000000,1161.989990,3044.000000
curb_concrete,mature,yes,800.000000,1161.665039,3016.000000
curb_concrete,mature,yes,800.000000,1161.339966,3017.000000
curb_concrete,mature,yes,800.000000,1161.015015,3004.000000
curb_concrete,mature,yes,800.000000,1160.689941,3059.000000
curb_concrete,mature,yes,800.000000,1160.364990,3078.000000
curb_concrete,mature,yes,800.000000,1160.040039,3006.000000
curb_concrete,mature,yes,800.000000,1159.715942,3027.000000
curb_concrete,mature,yes,800.000000,1159.390991,3043.000000
curb_concrete,mature,yes,800.000000,1159.066040,3057.000000
curb_concrete,mature,yes,800.000000,1158.740967,3106.000000
curb_concrete,mature,yes,800.000000,1158.416016,3008.000000
curb_concrete,mature,yes,800.000000,1158.090942,3014.000000
curb_concrete,mature,yes,800.000000,1157.765991,2962.000000
curb_concrete,mature,yes,800.000000,1157.441040,3038.000000
curb_concrete,mature,yes,800.000000,1157.116943,3070.000000
curb_concrete,mature,yes,800.000000,1156.791992,3052.000000
curb_concrete,mature,yes,800.000000,1156.467041,3062.000000
curb_concrete,mature,yes,800.000000,1156.141968,3040.000000
curb_concrete,mature,yes,800.000000,1155.817017,3038.000000
curb_concrete,mature,yes,800.000000,1155.491943,3034.000000
curb_concrete,mature,yes,800.000000,1155.166992,3012.000000
curb_concrete,mature,yes,800.000000,1154.842041,2995.000000
curb_concrete,mature,yes,800.000000,1154.516968,3040.000000
curb_concrete,mature,yes,800.000000,1154.192993,3038.000000
curb_concrete,mature,yes,800.000000,1153.868042,3023.000000
curb_concrete,mature,yes,800.000000,1153.542969,3057.000000
curb_concrete,mature,yes,800.000000,1153.218018,3008.000000
curb_concrete,mature,yes,800.000000,1152.892944,3008.000000
curb_concrete,mature,yes,800.000000,1152.567993,3062.000000
curb_concrete,mature,yes,800.000000,1152.243042,3034.000000
curb_concrete,mature,yes,800.000000,1151.917969,3023.000000
curb_concrete,mature,yes,800.000000,1151.593994,3014.000000
curb_concrete,mature,yes,800.000000,1151.269043,3002.000000
curb_concrete,mature,yes,800.000000,1150.943970,3039.000000
curb_concrete,mature,yes,800.000000,1150.619019,3031.000000
curb_concrete,mature,yes,800.000000,1150.293945,3028.000000
curb_concrete,mature,yes,800.000000,1149.968994,3073.000000
curb_concrete,mature,yes,800.000000,1149.644043,3047.000000
curb_concrete,mature,yes,800.000000,1149.318970,3048.000000
curb_concrete,mature,yes,800.000000,1148.994019,3056.000000
curb_concrete,mature,yes,800.000000,1148.670044,3111.000000
curb_concrete,mature,yes,800.000000,1148.344971,3037.000000
curb_concrete,mature,yes,800.000000,1148.020020,3060.000000
curb_concrete,mature,yes,800.000000,1147.694946,3045.000000
curb_concrete,mature,yes,800.000000,1147.369995,3025.000000
curb_concrete,mature,yes,800.000000,1147.045044,3056.000000
curb_concrete,mature,yes,800.000000,1146.719971,3091.000000
curb_concrete,mature,yes,800.000000,1146.395020,3019.000000
curb_concrete,mature,yes,800.000000,1146.071045,3043.000000
curb_concrete,mature,yes,800.000000,1145.745972,3033.000000
curb_concrete,mature,yes,800.000000,1145.421021,3048.000000
curb_concrete,mature,yes,800.000000,1145.095947,3022.000000
curb_concrete,mature,yes,800.000000,1144.770996,3004.000000
curb_concrete,mature,yes,800.000000,1144.446045,2990.000000
curb_concrete,mature,yes,800.000000,1144.120972,3078.000000
curb_concrete,mature,yes,800.000000,1143.796021,3086.000000
curb_concrete,mature,yes,800.000000,1143.470947,3062.000000
curb_concrete,mature,yes,800.000000,1143.146973,3017.000000
curb_concrete,mature,yes,800.000000,1142.822021,2992.000000
curb_concrete,mature,yes,800.000000,1142.496948,2992.000000
curb_concrete,mature,yes,800.000000,1142.171997,3007.000000
curb_concrete,mature,yes,800.000000,1141.847046,3025.000000
curb_concrete,mature,yes,800.000000,1141.521973,3058.000000
curb_concrete,mature,yes,800.000000,1141.197021,3017.000000
curb_concrete,mature,yes,800.000000,1140.871948,3067.000000
curb_concrete,mature,yes,800.000000,1140.547974,3035.000000
curb_concrete,mature,yes,800.000000,1140.223022,3051.000000
curb_concrete,mature,yes,800.000000,1139.897949,3055.000000
curb_concrete,mature,yes,800.000000,1139.572998,3013.000000
curb_concrete,mature,yes,800.000000,1139.248047,3027.000000
curb_concrete,mature,yes,800.000000,1138.922974,3032.000000
curb_concrete,mature,yes,800.000000,1138.598022,3005.000000
curb_concrete,mature,yes,800.000000,1138.272949,3013.000000
curb_concrete,mature,yes,800.000000,1137.947998,3013.000000
curb_concrete,mature,yes,800.000000,1137.624023,3004.000000
curb_concrete,mature,yes,800.000000,1137.298950,3061.000000
curb_concrete,mature,yes,800.000000,1136.973999,3060.000000
curb_concrete,mature,yes,800.000000,1136.649048,3038.000000
curb_concrete,mature,yes,800.000000,1136.323975,3017.000000
curb_concrete,mature,yes,800.000000,1135.999023,3014.000000
curb_concrete,mature,yes,800.000000,1135.673950,3036.000000
curb_concrete,mature,yes,800.000000,1135.348999,3025.000000
curb_concrete,mature,yes,800.000000,1135.025024,2996.000000
curb_concrete,mature,yes,800.000000,1134.699951,2976.000000
curb_concrete,mature,yes,800.000000,1134.375000,3029.000000
curb_concrete,mature,yes,800.000000,1134.050049,3072.000000
curb_concrete,mature,yes,800.000000,1133.724976,3031.000000
curb_concrete,mature,yes,800.000000,1133.400024,3009.000000
curb_concrete,mature,yes,800.000000,1133.074951,2970.000000
curb_concrete,mature,yes,800.000000,1132.750000,3059.000000
curb_concrete,mature,yes,800.000000,1132.425049,3030.000000
curb_concrete,mature,yes,800.000000,1132.100952,3012.000000
curb_concrete,mature,yes,800.000000,1131.776001,3040.000000
curb_concrete,mature,yes,800.000000,1131.451050,3041.000000
curb_concrete,mature,yes,800.000000,1131.125977,3078.000000
curb_concrete,mature,yes,800.000000,1130.801025,3059.000000
curb_concrete,mature,yes,800.000000,1130.475952,2985.000000
curb_concrete,mature,yes,800.000000,1130.151001,3043.000000
curb_concrete,mature,yes,800.000000,1129.826050,2973.000000
curb_concrete,mature,yes,800.000000,1129.501953,3035.000000
curb_concrete,mature,yes,800.000000,1129.177002,3012.000000
curb_concrete,mature,yes,800.000000,1128.852051,3042.000000
curb_concrete,mature,yes,800.000000,1128.526978,3100.000000
curb_concrete,mature,yes,800.000000,1128.202026,3072.000000
curb_concrete,mature,yes,800.000000,1127.876953,3037.000000
curb_concrete,mature,yes,800.000000,1127.552002,3049.000000
curb_concrete,mature,yes,800.000000,1127.227051,2994.000000
curb_concrete,mature,yes,800.000000,1126.901978,3012.000000
curb_concrete,mature,yes,800.000000,1126.578003,3022.000000
curb_concrete,mature,yes,800.000000,1126.253052,3065.000000
curb_concrete,mature,yes,800.000000,1125.927979,3042.000000
curb_concrete,mature,yes,800.000000,1125.603027,3038.000000
curb_concrete,mature,yes,800.000000,1125.277954,3046.000000
curb_concrete,mature,yes,800.000000,1124.953003,3077.000000
curb_concrete,mature,yes,800.000000,1124.628052,3033.000000
curb_concrete,mature,yes,800.000000,1124.302979,3056.000000
curb_concrete,mature,yes,800.000000,1123.978027,2992.000000
curb_concrete,mature,yes,800.000000,1123.654053,2996.000000
curb_concrete,mature,yes,800.000000,1123.328979,3048.000000
curb_concrete,mature,yes,800.000000,1123.004028,3015.000000
curb_concrete,mature,yes,800.000000,1122.678955,3033.000000
curb_concrete,mature,yes,800.000000,1122.354004,3048.000000
curb_concrete,mature,yes,800.000000,1122.029053,3058.000000
curb_concrete,mature,yes,800.000000,1121.703979,3061.000000
curb_concrete,mature,yes,800.000000,1121.379028,3024.000000
curb_concrete,mature,yes,800.000000,1121.055054,3072.000000
curb_concrete,mature,yes,800.000000,1120.729980,3018.000000
curb_concrete,mature,yes,800.000000,1120.405029,2985.000000
curb_concrete,mature,yes,800.000000,1120.079956,3056.000000
curb_concrete,mature,yes,800.000000,1119.755005,3002.000000
curb_concrete,mature,yes,800.000000,1119.430054,3043.000000
curb_concrete,mature,yes,800.000000,1119.104980,3036.000000
curb_concrete,mature,yes,800.000000,1118.780029,3041.000000
curb_concrete,mature,yes,800.000000,1118.454956,3106.000000
curb_concrete,mature,yes,800.000000,1118.130981,3066.000000
curb_concrete,mature,yes,800.000000,1117.806030,2994.000000
curb_concrete,mature,yes,800.000000,1117.480957,3076.000000
curb_concrete,mature,yes,800.000000,1117.156006,3070.000000
curb_concrete,mature,yes,800.000000,1116.831055,3062.000000
curb_concrete,mature,yes,800.000000,1116.505981,3037.000000
curb_concrete,mature,yes,800.000000,1116.181030,3038.000000
curb_concrete,mature,yes,800.000000,1115.855957,3042.000000
curb_concrete,mature,yes,800.000000,1115.531982,3055.000000
curb_concrete,mature,yes,800.000000,1115.207031,3040.000000
curb_concrete,mature,yes,800.000000,1114.881958,3064.000000
curb_concrete,mature,yes,800.000000,1114.557007,3004.000000
curb_concrete,mature,yes,800.000000,1114.232056,3031.000000
curb_concrete,mature,yes,800.000000,1113.906982,3065.000000
curb_concrete,mature,yes,800.000000,1113.582031,3038.000000
curb_concrete,mature,yes,800.000000,1113.256958,3023.000000
curb_concrete,mature,yes,800.000000,1112.932007,3029.000000
curb_concrete,mature,yes,800.000000,1112.608032,3001.000000
curb_concrete,mature,yes,800.000000,1112.282959,3043.000000
curb_concrete,mature,yes,800.000000,1111.958008,3030.000000
curb_concrete,mature,yes,800.000000,1111.633057,3012.000000
curb_concrete,mature,yes,800.000000,1111.307983,3010.000000
curb_concrete,mature,yes,800.000000,1110.983032,3006.000000
curb_concrete,mature,yes,800.000000,1110.657959,3045.000000
curb_concrete,mature,yes,800.000000,1110.333008,3026.000000
curb_concrete,mature,yes,800.000000,1110.009033,2973.000000
curb_concrete,mature,yes,800.000000,1109.683960,3000.000000
curb_concrete,mature,yes,800.000000,1109.359009,3018.000000
curb_concrete,mature,yes,800.000000,1109.034058,3040.000000
curb_concrete,mature,yes,800.000000,1108.708984,3059.000000
curb_concrete,mature,yes,800.000000,1108.384033,3033.000000
curb_concrete,mature,yes,800.000000,1108.058960,3016.000000
curb_concrete,mature,yes,800.000000,1107.734009,3033.000000
curb_concrete,mature,yes,800.000000,1107.409058,3059.000000
curb_concrete,mature,yes,800.000000,1107.084961,3082.000000
curb_concrete,mature,yes,800.000000,1106.760010,3033.000000
curb_concrete,mature,yes,800.000000,1106.435059,3036.000000
curb_concrete,mature,yes,800.000000,1106.109985,3032.000000
curb_concrete,mature,yes,800.000000,1105.785034,2985.000000
curb_concrete,mature,yes,800.000000,1105.459961,3049.000000
curb_concrete,mature,yes,800.000000,1105.135010,3020.000000
curb_concrete,mature,yes,800.000000,1104.810059,3016.000000
curb_concrete,mature,yes,800.000000,1104.485962,3074.000000
curb_concrete,mature,yes,800.000000,1104.161011,3034.000000
curb_concrete,mature,yes,800.000000,1103.836060,3022.000000
curb_concrete,mature,yes,800.000000,1103.510986,3030.000000
curb_concrete,mature,yes,800.000000,1103.186035,3042.000000
curb_concrete,mature,yes,800.000000,1102.860962,3128.000000
curb_concrete,mature,yes,800.000000,1102.536011,3095.000000
curb_concrete,mature,yes,800.000000,1102.211060,3032.000000
curb_concrete,mature,yes,800.000000,1101.885986,3008.000000
curb_concrete,mature,yes,800.000000,1101.562012,3030.000000
curb_concrete,mature,yes,800.000000,1101.237061,2968.000000
curb_concrete,mature,yes,800.000000,1100.911987,3028.000000
curb_concrete,mature,yes,800.000000,1100.587036,3038.000000
curb_concrete,mature,yes,800.000000,1100.261963,3048.000000
curb_concrete,mature,yes,800.000000,1099.937012,3056.000000
curb_concrete,mature,yes,800.000000,1099.612061,3057.000000
curb_concrete,mature,yes,800.000000,1099.286987,3044.000000
curb_concrete,mature,yes,800.000000,1098.963013,3018.000000
curb_concrete,mature,yes,800.000000,1098.637939,3056.000000
curb_concrete,mature,yes,800.000000,1098.312988,3011.000000
curb_concrete,mature,yes,800.000000,1097.988037,3039.000000
curb_concrete,mature,yes,800.000000,1097.662964,3057.000000
curb_concrete,mature,yes,800.000000,1097.338013,3074.000000
curb_concrete,mature,yes,800.000000,1097.012939,3008.000000
curb_concrete,mature,yes,800.000000,1096.687988,3038.000000
curb_concrete,mature,yes,800.000000,1096.363037,3010.000000
curb_concrete,mature,yes,800.000000,1096.038940,3019.000000
curb_concrete,mature,yes,800.000000,1095.713989,3005.000000
curb_concrete,mature,yes,800.000000,1095.389038,3056.000000
curb_concrete,mature,yes,800.000000,1095.063965,2986.000000
curb_concrete,mature,yes,800.000000,1094.739014,3010.000000
curb_concrete,mature,yes,800.000000,1094.413940,2997.000000
curb_concrete,mature,yes,800.000000,1094.088989,3016.000000
curb_concrete,mature,yes,800.000000,1093.764038,3031.000000
curb_concrete,mature,yes,800.000000,1093.439941,3055.000000
curb_concrete,mature,yes,800.000000,1093.114990,3030.000000
curb_concrete,mature,yes,800.000000,1092.790039,3021.000000
curb_concrete,mature,yes,800.000000,1092.464966,3003.000000
curb_concrete,mature,yes,800.000000,1092.140015,3023.000000
curb_concrete,mature,yes,800.000000,1091.824951,2993.000000
curb_concrete,mature,yes,800.000000,1091.510010,2995.000000
curb_concrete,mature,yes,800.000000,1091.194946,3035.000000
curb_concrete,mature,yes,800.000000,1090.880005,3073.000000
curb_concrete,mature,yes,800.000000,1090.563965,3054.000000
curb_concrete,mature,yes,800.000000,1090.249023,3046.000000
curb_concrete,mature,yes,800.000000,1089.933960,3063.000000
curb_concrete,mature,yes,800.000000,1089.619019,3067.000000
curb_concrete,mature,yes,800.000000,1089.303955,3015.000000
curb_concrete,mature,yes,800.000000,1088.989014,2979.000000
curb_concrete,mature,yes,800.000000,1088.673950,3042.000000
curb_concrete,mature,yes,800.000000,1088.359009,3051.000000
curb_concrete,mature,yes,800.000000,1088.043945,3076.000000
curb_concrete,mature,yes,800.000000,1087.728027,3063.000000
curb_concrete,mature,yes,800.000000,1087.412964,3026.000000
curb_concrete,mature,yes,800.000000,1087.098022,3022.000000
curb_concrete,mature,yes,800.000000,1086.782959,3018.000000
curb_concrete,mature,yes,800.000000,1086.468018,3070.000000
curb_concrete,mature,yes,800.000000,1086.152954,3046.000000
curb_concrete,mature,yes,800.000000,1085.838013,3026.000000
curb_concrete,mature,yes,800.000000,1085.522949,3032.000000
curb_concrete,mature,yes,800.000000,1085.208008,3023.000000
curb_concrete,mature,yes,800.000000,1084.891968,3068.000000
curb_concrete,mature,yes,800.000000,1084.577026,3040.000000
curb_concrete,mature,yes,800.000000,1084.261963,3009.000000
curb_concrete,mature,yes,800.000000,1083.947021,3059.000000
curb_concrete,mature,yes,800.000000,1083.631958,2972.000000
